id,name,pattern_type,category_name,category,status,complexity,version,tuple_notation,component_count,type_def_count,property_count,operation_count,manifestation_count,dependency_count,has_circular_deps,domains
F4.2,,flow,Process Flows,pattern,stable,medium,1.1,"$N = (trigger, route, format, deliver)$",4,4,3,3,5,0,no,Process Flow; Architecture
F4.3,,flow,Process Flows,pattern,stable,medium,1.1,"$E = (source, transform, validate, publish)$",4,4,3,3,5,0,no,Process Flow; Architecture
F4.4,,flow,Process Flows,pattern,stable,medium,1.1,"$M = (query, compute, cache, refresh)$",4,4,3,3,5,0,no,Process Flow; Architecture
C5,Version History,concept,Foundational Concepts,concept,stable,medium,1.1,"$H = (states, deltas, branches)$",3,0,3,3,5,0,no,Version Control; History Tracking
F5,Collaborative Editing Flow,flow,Process Flows,flow,stable,high,1.1,"$E = (U, D, O, T, M, \delta_{F5})$",2,0,0,3,4,0,no,Process Flow; Architecture
P5,Tabbed Workspace,pattern,Interface Patterns,pattern,stable,low,1.1,"$W = (tabs, active, buffers, state)$",4,0,3,3,4,0,no,Software Architecture; Design Patterns
F6,Error Recovery Flow,flow,Process Flows,flow,stable,medium,1.1,"$E = (detect, classify, strategy, recover)$",4,3,3,3,5,0,no,Process Flow; Architecture
P6,Palette/Toolbar,pattern,Interface Patterns,pattern,stable,low,1.1,"$pal = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,0,no,Software Architecture; Design Patterns
P7,Breadcrumb Trail,pattern,Interface Patterns,pattern,stable,low,1.1,"$B = (path, separators, actions)$",3,0,3,2,3,0,no,Software Architecture; Design Patterns
P8,Search-Based Navigation,pattern,Interface Patterns,pattern,stable,low,1.1,"$S = (query, index, results, ranker)$",4,0,3,3,4,0,no,Software Architecture; Design Patterns
P9,Backlinks/References,pattern,Interface Patterns,pattern,stable,low,1.1,"$bac = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,0,no,Software Architecture; Design Patterns
P10,Parser/Compiler Pipeline,pattern,Backend Patterns,pattern,stable,low,1.1,"$pp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,0,no,Software Architecture; Design Patterns
P11,Validator/Checker,pattern,Backend Patterns,pattern,stable,low,1.1,"$val = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,0,no,Software Architecture; Design Patterns
P12,Solver/Optimizer,pattern,Backend Patterns,pattern,stable,low,1.1,"$sol = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,0,no,Software Architecture; Design Patterns
P13,Indexer/Query Engine,pattern,Backend Patterns,pattern,stable,low,1.1,"$ie = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,0,no,Software Architecture; Design Patterns
P14,Agent Swarm,pattern,Backend Patterns,pattern,stable,low,1.1,"$A = (agents, tasks, coord, results)$",4,4,3,6,4,0,no,Software Architecture; Design Patterns
P15,Reasoning Chain,pattern,Backend Patterns,pattern,stable,low,1.1,"$R = (steps, state, deps, result)$",4,3,3,2,4,0,no,Software Architecture; Design Patterns
P16,Suggestion/Recommendation System,pattern,Backend Patterns,pattern,stable,low,1.1,"$ss = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,0,no,Software Architecture; Design Patterns
P17,Key-Value Store,pattern,Feedback & Communication,pattern,stable,low,1.1,"$K = (store, get, set, delete)$",4,0,2,3,4,0,no,Software Architecture; Design Patterns
P18,Relational Database,pattern,Feedback & Communication,pattern,stable,low,1.1,"$R = (tables, schemas, constraints, indices)$",4,4,2,3,4,0,no,Software Architecture; Design Patterns
P19,Graph Database,pattern,Feedback & Communication,pattern,stable,low,1.1,"$G = (nodes, edges, props, traversal)$",4,4,2,2,4,0,no,Software Architecture; Design Patterns
P20,Document Store,pattern,Feedback & Communication,pattern,stable,low,1.1,"$D = (collections, documents, queries, indices)$",4,3,2,3,4,0,no,Software Architecture; Design Patterns
P21,Time-Series Store,pattern,Feedback & Communication,pattern,stable,low,1.1,"$T = (series, timestamps, values, aggregations)$",4,2,2,2,5,0,no,Software Architecture; Design Patterns
P22,Event Bus,pattern,Feedback & Communication,pattern,stable,low,1.1,"$B = (publishers, subscribers, topics, broker)$",4,4,3,6,4,0,no,Software Architecture; Design Patterns
P23,Real-Time Sync,pattern,Feedback & Communication,pattern,stable,low,1.1,"$S = (local, remote, diff, merge, conflicts)$",5,3,3,6,4,0,no,Software Architecture; Design Patterns
P24,Request-Response API,pattern,Feedback & Communication,pattern,stable,low,1.1,"$A = (endpoints, handlers, middleware, responses)$",4,6,3,3,4,0,no,Software Architecture; Design Patterns
P25,Streaming Protocol,pattern,Feedback & Communication,pattern,stable,low,1.1,"$S = (producer, consumer, buffer, backpressure, state)$",5,3,3,6,5,0,no,Software Architecture; Design Patterns
P26,Status Bar/Indicator,pattern,Feedback & Communication,pattern,stable,low,1.1,"$sb = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,0,no,Software Architecture; Design Patterns
P27,Toast/Notification,pattern,Feedback & Communication,pattern,stable,low,1.1,"$toa = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,0,no,Software Architecture; Design Patterns
P28,Progress Indicator,pattern,Feedback & Communication,pattern,stable,low,1.1,"$P = (current, total, label, eta, state)$",5,2,4,3,5,2,no,Software Architecture; Design Patterns
P29,Centralized State Store,pattern,State & Architecture,pattern,stable,low,1.1,"$S = (store, reducers, selectors, subscriptions)$",4,5,3,3,4,0,no,Software Architecture; Design Patterns
P30,Command Pattern,pattern,State & Architecture,pattern,stable,low,1.1,"$C = (commands, executor, undo\_stack, redo\_stack)$",4,1,3,3,4,0,no,Software Architecture; Design Patterns
P31,Observer Pattern,pattern,State & Architecture,pattern,stable,low,1.1,"$O = (subject, observers, notify)$",3,2,2,3,4,0,no,Software Architecture; Design Patterns
P32,Plugin Architecture,pattern,State & Architecture,pattern,stable,low,1.1,"$P = (interface, registry, loader, lifecycle)$",4,3,3,3,4,0,no,Software Architecture; Design Patterns
P33,Hook System,pattern,State & Architecture,pattern,stable,low,1.1,"$H = (hooks, handlers, register, invoke)$",4,3,2,2,4,0,no,Software Architecture; Design Patterns
P34,Strategy Pattern,pattern,State & Architecture,pattern,stable,low,1.1,"$S = (interface, implementations, selector, current)$",4,3,2,3,4,0,no,Software Architecture; Design Patterns
P35,Split-Pane Layout,pattern,Layout & Navigation,pattern,stable,low,1.1,"$S = (P, D, R, \delta_{35}, \sigma_{35})$",3,0,3,1,4,0,no,Software Architecture; Design Patterns
P36,Selection-Driven Panel,pattern,Layout & Navigation,pattern,stable,low,1.1,"$S = (selection, content, \phi_{36}, observers)$",4,3,3,4,0,0,no,Software Architecture; Design Patterns
P37,Empty State Pattern,pattern,Layout & Navigation,pattern,stable,low,1.1,"$E = (C, \epsilon_{37}, P, A)$",1,0,0,2,4,0,no,Software Architecture; Design Patterns
P38,Badge/Indicator Pattern,pattern,Layout & Navigation,pattern,stable,low,1.1,"$bp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,0,no,Software Architecture; Design Patterns
P39,Contextual Action Menu,pattern,Layout & Navigation,pattern,stable,low,1.1,"$M = (T, C, A, \pi_{39}, \sigma_{39}, \delta_{39})$",3,0,3,2,4,0,no,Software Architecture; Design Patterns
P40,Mode Toggle System,pattern,Layout & Navigation,pattern,stable,low,1.1,"$T = (M, m_0, \delta_{40}, \phi_{40}, \iota_{40})$",3,0,3,2,4,0,no,Software Architecture; Design Patterns
P41,Inline Status Chip,pattern,Layout & Navigation,pattern,stable,low,1.1,"$S = (I, L, \theta_{41}, \sigma_{41}, \alpha_{41})$",2,0,3,2,4,0,no,Software Architecture; Design Patterns
P42,Tooltip/Hint System,pattern,Layout & Navigation,pattern,stable,low,1.1,"$ts = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,0,no,Software Architecture; Design Patterns
P43,Application Navigation Drawer,pattern,Layout & Navigation,pattern,stable,low,1.1,"$D = (S_{43}, C, O, \alpha_{43}, \omega_{43}, \pi_{43})$",3,0,3,3,4,0,no,Software Architecture; Design Patterns
P44,Keyboard Shortcut System,pattern,Layout & Navigation,pattern,stable,low,1.1,"$K = (B, M, H, C, P)$",4,0,3,3,4,0,no,Software Architecture; Design Patterns
P45,Drag and Drop Interaction,pattern,Forms & Input,pattern,stable,low,1.1,"$D = (S, T, G, F, \phi_{45}, \psi_{45})$",3,0,0,2,4,0,no,Software Architecture; Design Patterns
P46,Focus Management System,pattern,Forms & Input,pattern,stable,low,1.1,"$F = (O, \tau_{46}, R, I, S)$",4,0,0,2,4,0,no,Software Architecture; Design Patterns
P47,Inline Editing Pattern,pattern,Forms & Input,pattern,stable,low,1.1,"$E = (M, \sigma_{47}, \tau_{47}, \phi_{47}, \psi_{47})$",3,0,3,3,4,0,no,Software Architecture; Design Patterns
P48,Form Validation Pattern,pattern,Forms & Input,pattern,stable,low,1.1,"$V = (fields, rules, state, errors)$",4,4,4,8,5,0,no,Software Architecture; Design Patterns
P49,Multi-Step Form (Wizard) Pattern,pattern,Forms & Input,pattern,stable,low,1.1,"$W = (steps, current, data, nav, progress)$",5,2,4,5,5,0,no,Software Architecture; Design Patterns
P50,Form Dependency Pattern,pattern,Forms & Input,pattern,stable,low,1.1,"$D = (fields, deps, update, cascade)$",4,1,4,7,5,0,no,Software Architecture; Design Patterns
P51,Responsive Layout Pattern (NEW),pattern,Data Display,pattern,stable,low,1.1,"$L = (breakpoints, layouts, current)$",3,2,3,6,4,0,no,Software Architecture; Design Patterns
P52,Pagination Pattern,pattern,Data Display,pattern,stable,low,1.1,"$P = (data, page, size, total, nav)$",5,1,3,9,5,0,no,Software Architecture; Design Patterns
P53,Filtering Pattern,pattern,Data Display,pattern,stable,low,1.1,"$F = (data, filters, active, result, facets)$",5,4,3,6,5,0,no,Software Architecture; Design Patterns
P54,Sorting Pattern,pattern,Data Display,pattern,stable,low,1.1,"$S = (data, columns, order, comparator)$",4,3,3,7,5,0,no,Software Architecture; Design Patterns
P55,Virtualization Pattern,pattern,Data Display,pattern,stable,low,1.1,"$V = (data, viewport, item\_height, buffer, visible)$",5,0,4,5,5,0,no,Software Architecture; Design Patterns
P56,Cache Strategy Pattern,pattern,Data Display,pattern,stable,low,1.1,"$C = (storage, policy, ttl, evict)$",4,3,3,7,5,0,no,Software Architecture; Design Patterns
P57,Data Migration Pattern,pattern,Data Display,pattern,stable,low,1.1,"$M = (versions, migrations, current, rollback)$",4,3,3,6,4,0,no,Software Architecture; Design Patterns
P58,Authentication Pattern,pattern,Data Display,pattern,stable,low,1.1,"$A = (users, credentials, sessions, verify, tokens)$",5,4,3,10,4,0,no,Software Architecture; Design Patterns
P59,Authorization Pattern,pattern,Data Display,pattern,stable,low,1.1,"$Z = (subjects, objects, permissions, policies, check)$",5,5,3,8,4,0,no,Software Architecture; Design Patterns
P60,Input Sanitization Pattern,pattern,Data Display,pattern,stable,low,1.1,"$S = (validators, sanitizers, encoders, rules)$",4,5,3,8,4,0,no,Software Architecture; Design Patterns
P61,Unit Test Pattern,pattern,Testing,pattern,stable,low,1.1,"$U = (sut, arrange, act, assert, cleanup)$",5,4,4,6,4,0,no,Software Architecture; Design Patterns
P62,Integration Test Pattern,pattern,Testing,pattern,stable,low,1.1,"$I = (components, interactions, environment, verify)$",4,3,3,11,4,0,no,Software Architecture; Design Patterns
P63,End-to-End Test Pattern,pattern,Testing,pattern,stable,low,1.1,"$E = (scenario, browser, pages, assertions, data)$",5,4,3,3,4,0,no,Software Architecture; Design Patterns
P64,Generative UI,pattern,Generative/Dynamic UI,pattern,stable,high,1.1,"$G = (T_{lib}, ctx, gen, render, stream) : \text{ctx} \times T_{lib} \to \text{UI}_{dynamic}$",5,4,4,3,4,3,yes,AI; UI; Generative
P65,Streaming Component,pattern,Generative/Dynamic UI,pattern,stable,high,1.1,"$S = (\tau_{stream}, buf, Q_{render}, sync) : \text{Token} \to \Delta \text{UI}$",4,3,4,3,4,4,yes,AI; Streaming; UI
P66,Context-Adaptive Interface,pattern,Generative/Dynamic UI,pattern,stable,high,1.1,"$A = (U_{state}, T_{ctx}, T_{ui}, R_{adapt}) : \text{Context} \to \text{UI}_{morphed}$",4,4,4,3,4,4,yes,AI; Adaptive UI; Personalization
P67,Progressive Disclosure by AI,pattern,Generative/Dynamic UI,pattern,stable,high,1.1,"$D = (H_{info}, score_{rel}, \sigma_{disc}) : \text{Information} \to \text{Revealed}_t$",3,4,4,3,4,3,yes,AI; Progressive Disclosure; UX
P68,Agent Team Visualization,pattern,Multi-Agent Orchestration UI,pattern,stable,high,1.1,"$V_{team} = (A_{roster}, R_{roles}, S_{status}, C_{coord}) : \text{Agents} \to \text{Visualization}$",4,4,4,3,4,4,yes,AI; Multi-Agent; Visualization
P69,Agent Activity Timeline,pattern,Multi-Agent Orchestration UI,pattern,stable,high,1.1,"$T_{activity} = (Events, Timeline, Agents, Actions) : Agent 	imes Time 	o Activity_{log}$",4,3,4,3,4,4,yes,AI; UI
P70,Agent Handoff,pattern,Multi-Agent Orchestration UI,pattern,stable,high,1.1,"$H = (A_{from}, A_{to}, \Sigma_{state}, T_{transfer}, V_{verify}) : \text{Task} \times \text{Context} \to \text{Transfer}$",5,3,4,3,4,4,no,AI; Agent Coordination; Handoff
P71,Orchestration Dashboard,pattern,Multi-Agent Orchestration UI,pattern,stable,high,1.1,"$D_{orch} = (W_{flow}, A_{agents}, M_{metrics}, C_{control}) : \text{Workflow} \to \text{Dashboard}$",4,3,4,3,4,5,yes,AI; Orchestration; Dashboard
P72,Agent Role Selector,pattern,Multi-Agent Orchestration UI,pattern,stable,high,1.1,"$S_{role} = (R_{available}, T_{task}, M_{match}, A_{assign}) : \text{Task} \to \text{Agent} \times \text{Role}$",4,3,4,3,4,3,no,AI; Agent Roles; Management
P73,Composite Action,pattern,Multi-Agent Orchestration UI,pattern,stable,high,1.1,"$C = (A_{atomic}, compose, exec, rollback) : \text{Set}\langle \text{Action} \rangle \to \text{Action}_{composite}$",4,3,4,3,4,3,no,AI; Composite Actions; Automation
P74,Continuous AI Monitoring,pattern,Proactive AI Assistance,pattern,stable,high,1.1,"$M_{cont} = (S_{stream}, D_{detect}, T_{threshold}, A_{alert}) : \text{State}_{stream} \to \text{Anomalies}$",4,3,4,3,4,5,yes,AI; Monitoring; Observability
P75,Proactive Intervention,pattern,Proactive AI Assistance,pattern,stable,high,1.1,"$I_{proact} = (P_{predict}, T_{timing}, A_{action}, U_{user}) : \text{Context} \to \text{Intervention}$",4,3,4,3,4,4,yes,AI; Proactive; Intervention
P76,Ambient AI,pattern,Proactive AI Assistance,pattern,stable,high,1.1,"$A_{ambient} = (C_{aware}, P_{cont}, I_{subtle}, E_{bg}) : Context \to Actions_{unobtrusive}$",4,0,3,3,3,0,no,AI; Ambient; Background
P77,Intelligent Interruption,pattern,Proactive AI Assistance,pattern,stable,high,1.1,"$I_{int} = (S_{load}, D_{boundary}, score_{urgency}, Sched) : (Task, Interrupt) \to Time_{optimal}$",4,0,3,3,3,0,no,AI; Interruption; Attention
P78,Background Task Management,pattern,Proactive AI Assistance,pattern,stable,high,1.1,"$B_{task} = (Q_{tasks}, I_{progress}, N_{complete}, S_{results}) : Tasks_{async} \to UI_{status}$",4,0,3,3,3,0,no,AI; Background Tasks; Management
P79,Anticipatory Action,pattern,Proactive AI Assistance,pattern,stable,high,1.1,"$A_{antic} = (P_{intent}, Prep_{res}, E_{spec}, V_{gate}) : Context \to Actions_{prepared}$",4,0,3,3,3,0,no,AI; Anticipatory; Prediction
P80,Voice Conversation,pattern,Voice & Multimodal Interaction,pattern,stable,high,1.1,"$V_{conv} = (I_{speech}, R_{intent}, M_{dialog}, O_{speech}, H_{int}) : \text{Speech} \leftrightarrow \text{Response}$",5,4,4,3,4,3,no,AI; Voice; Multimodal
P81,Voice Command with Visual Feedback,pattern,Voice & Multimodal Interaction,pattern,stable,high,1.1,"$V_{visual} = (I_{voice}, D_{trans}, V_{intent}, UI_{confirm}) : Voice \to (Command, Visualization)$",4,0,3,3,3,0,no,AI; Voice; Feedback
P82,Multimodal Input Fusion,pattern,Voice & Multimodal Interaction,pattern,stable,high,1.1,"$F_{multi} = (I_{voice}, I_{gesture}, I_{screen}, E_{fusion}, Intent_{unified}) : Inputs \to Intent$",5,0,3,3,3,0,no,AI; Multimodal; Fusion
P83,Voice-First Navigation,pattern,Voice & Multimodal Interaction,pattern,stable,high,1.1,"$N_{voice} = (C_{voice}, G_{nav}, S_{shortcuts}, M_{confirm}) : VoiceCommand \to Navigation$",4,0,3,3,3,0,no,AI; Voice; Navigation
P84,Continuous Dictation,pattern,Voice & Multimodal Interaction,pattern,stable,high,1.1,"$D_{cont} = (T_{stream}, D_{struct}, F_{auto}, M_{punct}) : Speech_{stream} \to Text_{structured}$",4,0,3,3,3,0,no,AI; Voice; Dictation
P85,Voice Disambiguation,pattern,Voice & Multimodal Interaction,pattern,stable,high,1.1,"$D_{voice} = (D_{ambig}, G_{clarify}, P_{choices}, R_{ctx}) : Ambiguous \to Resolved$",4,0,3,3,3,0,no,AI; Voice; Disambiguation
P86,Approval Checkpoint,pattern,Human-in-Loop & Agency Control,pattern,stable,high,1.1,"$C_{approve} = (T_{checkpoint}, G_{preview}, UI_{approve}, Gate_{exec}) : Action_{critical} \to Approved \cup Rejected$",4,0,3,3,3,0,no,AI; Approval; Control
P87,Agency Slider,pattern,Human-in-Loop & Agency Control,pattern,stable,high,1.1,"$S_{agency} = (Spectrum_{control}, Level_{current}, Sens_{ctx}, Adj_{dynamic}) : Context \to Control_{distribution}$",4,0,3,3,3,0,no,AI; Agency; Control
P88,Collaboration Mode Switcher,pattern,Human-in-Loop & Agency Control,pattern,stable,high,1.1,"$M_{collab} = (Modes, T_{transition}, P_{state}, I_{mode}) : Mode \to \{AI\text{-}Centric, Human\text{-}Centric, Symbiotic\}$",4,0,3,3,3,0,no,AI; Collaboration; Mode Switching
P89,Confidence Indicator,pattern,Human-in-Loop & Agency Control,pattern,stable,high,1.1,"$I_{conf} = (Score_{conf}, V_{vis}, Alert_{threshold}, Link_{explain}) : Decision \to Confidence \in [0,1]$",4,0,3,3,3,0,no,AI; Confidence; Transparency
P90,Explanation on Demand,pattern,Human-in-Loop & Agency Control,pattern,stable,high,1.1,"$E_{explain} = (Trace_{reason}, G_{explain}, P_{present}, Levels_{detail}) : Decision \to Explanation$",4,0,3,3,3,0,no,AI; Explanation; Transparency
P91,Intervention Request,pattern,Human-in-Loop & Agency Control,pattern,stable,high,1.1,"$R_{int} = (D_{stuck}, R_{help}, Prov_{ctx}, Resp_{human}) : Stuck \to Help_{request}$",4,0,3,3,3,0,no,AI; Intervention; Human-in-Loop
P92,Contextual Undo/Rollback,pattern,Human-in-Loop & Agency Control,pattern,stable,high,1.1,"$U_{ctx} = (H_{actions}, Snap_{state}, Track_{dep}, Prev_{undo}) : Action \to State_{previous}$",4,0,3,3,3,0,no,AI; Undo; Rollback
P93,Agent Thinking Indicator,pattern,Agent State Visualization,pattern,stable,medium,1.1,"$I_{think} = (P_{reasoning}, V_{display}, Phase_{current}) : Agent_{state} \to Indicator_{thinking}$",3,0,3,3,3,0,no,AI; Thinking; Visualization
P94,Tool Execution Visualization,pattern,Agent State Visualization,pattern,stable,medium,1.1,"$V_{tool} = (T_{active}, P_{progress}, R_{results}, E_{errors}) : Tool_{exec} \to Visualization$",4,0,3,3,3,0,no,AI; Tool Execution; Transparency
P95,Multi-Step Progress,pattern,Agent State Visualization,pattern,stable,low,1.1,"$P_{multi} = (Steps, Current, Completed, Remaining) : Workflow \to Progress_{visual}$",4,0,3,3,3,0,no,AI; Progress; Feedback
P96,Real-Time Confidence Display,pattern,Agent State Visualization,pattern,stable,low,1.1,"$C_{rt} = (Conf_{stream}, Update_{live}, Threshold_{alert}) : Decision_{stream} \to Confidence_{t}$",3,0,3,3,3,0,no,AI; Confidence; Real-time
P97,Resource Usage Indicator,pattern,Agent State Visualization,pattern,stable,low,1.1,"$R_{usage} = (API_{calls}, Tokens_{used}, Cost_{current}, Limits) : Resources \to Usage_{display}$",4,0,3,3,3,0,no,AI; Resources; Monitoring
P98,Agent State Timeline,pattern,Agent State Visualization,pattern,stable,medium,1.1,"$T_{state} = (States, Decisions, Transitions, History) : Agent_{history} \to Timeline$",4,0,3,3,3,0,no,AI; State; Timeline
P99,Knowledge Graph Explorer,pattern,Knowledge Graph UI,pattern,stable,high,1.1,"$E_{graph} = (G, N_{focus}, Traverse, Filter, Layout) : KnowledgeGraph \to Exploration_{interactive}$",5,0,3,3,3,0,no,AI; Knowledge Graph; Exploration
P100,Source Citation,pattern,Knowledge Graph UI,pattern,stable,medium,1.1,"$C_{source} = (Sources, Inline_{refs}, Links, Verification) : \text{Content} \to \text{Sources}_{cited}$",4,3,4,3,4,4,yes,AI; UI
P101,Retrieval Path Visualization,pattern,Knowledge Graph UI,pattern,stable,medium,1.1,"$V_{path} = (Query, Path_{retrieval}, Nodes_{visited}, Score_{relevance}) : \text{Retrieval} \to \text{Path}_{visual}$",4,3,4,3,4,4,yes,AI; UI
P102,Confidence-Based Highlighting,pattern,Knowledge Graph UI,pattern,stable,medium,1.1,"$H_{conf} = (Text, Conf_{scores}, Colors, Thresholds) : (\text{Content}, \text{Confidence}) \to \text{Highlighted}$",4,3,4,3,4,4,yes,AI; UI
P103,Multi-Source Reconciliation,pattern,Knowledge Graph UI,pattern,stable,medium,1.1,"$R_{multi} = (Sources, Conflicts, Resolution, Display) : \text{Sources} \to \text{Reconciled}_{view}$",4,3,4,3,4,3,yes,AI; UI
P104,Graph Query Builder,pattern,Knowledge Graph UI,pattern,stable,medium,1.1,"$B_{query} = (G, Q_{visual}, Cypher, Execute) : \text{UserInput} \to \text{Query}_{graph}$",4,3,4,3,4,4,yes,AI; UI
P105,Semantic Similarity Visualizer,pattern,Knowledge Graph UI,pattern,stable,medium,1.1,"$V_{sim} = (Concepts, Sim_{matrix}, Layout, Threshold) : \text{Set}\langle \text{Concept} \rangle \to \text{Similarity}_{visual}$",4,3,4,3,4,3,yes,AI; UI
P106,Auto-Updating Content,pattern,Knowledge Graph UI,pattern,stable,medium,1.1,"$U_{auto} = (Content, Sources, Monitor, Update_{trigger}) : Document \times Time \to Document'$",4,0,3,3,3,0,no,AI; UI
P107,Suggested Edits,pattern,Knowledge Graph UI,pattern,stable,medium,1.1,"$E_{suggest} = (Content, Improvements, Confidence, Approval) : \text{Document} \to \text{Edits}_{suggested}$",4,3,4,3,4,3,yes,AI; UI
P108,Cross-Document Linking,pattern,Knowledge Graph UI,pattern,stable,medium,1.1,"$L_{cross} = (Docs, Relationships, Auto_{link}, Display) : \text{Set}\langle \text{Document} \rangle \to \text{Links}$",4,3,4,3,4,4,yes,AI; UI
P109,Outdated Content Detection,pattern,Knowledge Graph UI,pattern,stable,medium,1.1,"$D_{outdated} = (Content, Sources, Freshness, Alerts) : \text{Document} \to \text{Outdated}_{flags}$",4,3,4,3,4,4,yes,AI; UI
P110,Collaborative Document Intelligence,pattern,Event-Driven UI,pattern,stable,medium,1.1,"$I_{collab} = (Agents, Document, Contributions, Coordination) : (\text{Agents}, \text{Doc}) \to \text{Doc}'$",4,3,4,3,4,5,no,AI; UI
P111,Document Evolution Timeline,pattern,Event-Driven UI,pattern,stable,medium,1.1,"$T_{evol} = (Versions, Changes, Contributors, Timestamps) : \text{Document}_{history} \to \text{Timeline}$",4,3,4,3,4,4,yes,AI; UI
P112,Event Stream Visualization,pattern,Event-Driven UI,pattern,stable,medium,1.1,"$V_{stream} = (Events, Timeline, Filter, Aggregation) : \text{Event}_{stream} \to \text{Visualization}_{realtime}$",4,3,4,3,4,5,yes,AI; UI
P113,Event Replay Control,pattern,Event-Driven UI,pattern,stable,medium,1.1,"$R_{replay} = (History, Selector, Playback, State_{restore}) : \text{Events}_{past} \to \text{Replay}$",4,3,4,3,4,4,yes,AI; UI
P114,Stream Backpressure,pattern,Event-Driven UI,pattern,stable,medium,1.1,"$B_{press} = (Stream, Buffer, Rate_{control}, Drop_{strategy}) : \text{Events}_{overwhelming} \to \text{Events}_{managed}$",4,3,4,3,4,3,yes,AI; UI
P115,Event-Driven State Updates,pattern,Event-Driven UI,pattern,stable,medium,1.1,"$U_{event} = (State, Event_{stream}, Reducer, UI_{sync}) : (\text{State}, \text{Events}) \to \text{State}'$",4,3,4,3,4,7,yes,AI; UI
